Time	Channel 8
Seconds	mW

248110	1,6203
248120	1,6203
248130	1,6186
248140	1,6134
248150	1,6163
248160	1,6203
248170	1,6186
248180	1,6169
248190	1,6221
248200	1,6134
248210	1,6221
248220	1,6203
248230	1,6186
248240	1,6238
248250	1,6186
248260	1,6221
248270	1,6169
248280	1,6221
248290	1,6169
248300	1,6169
248310	1,6203
248320	1,6151
248330	1,6203
248340	1,6169
248350	1,6186
248360	1,6203
248370	1,6169
248380	1,6169
248390	1,6186
248400	1,6134
248410	1,6203
248420	1,6203
248430	1,6134
248440	1,6151
248450	1,6169
248460	1,6186
248470	1,6151
248480	1,6151
248490	1,6117
248500	1,6151
248510	1,6134
248520	1,6221
248530	1,6151
248540	1,6186
248550	1,6134
248560	1,6134
248570	1,6100
248580	1,6117
248590	1,6151
248600	1,6151
248610	1,6134
248620	1,6151
248630	1,6143
248640	1,6151
248650	1,6100
248660	1,6151
248670	1,6186
248680	1,6151
248690	1,6151
248700	1,6134
248710	1,6117
248720	1,6169
248730	1,6169
248740	1,6117
248750	1,6151
248760	1,6113
248770	1,6186
248780	1,6123
248790	1,6188
248800	1,6100
248810	1,6100
248820	1,6117
248830	1,6100
248840	1,6117
248850	1,6065
248860	1,6186
248870	1,6151
248880	1,6151
248890	1,6134
248900	1,6134
248910	1,6134
248920	1,6134
248930	1,6117
248940	1,6134
248950	1,6134
248960	1,6100
248970	1,6100
248980	1,6169
248990	1,6100
249000	1,6100
249010	1,6134
249020	1,6082
249030	1,6134
249040	1,6134
249050	1,6082
249060	1,6065
249070	1,6100
249080	1,6117
249090	1,6065
249100	1,6134
249110	1,6100
249120	1,6117
249130	1,6100
249140	1,6100
249150	1,6082
249160	1,6100
249170	1,6048
249180	1,6100
249190	1,6082
249200	1,6100
249210	1,6065
249220	1,6048
249230	1,6100
249240	1,6082
249250	1,6048
249260	1,6117
249270	1,6100
249280	1,6117
249290	1,6117
249300	1,6100
249310	1,6082
249320	1,6065
249330	1,6117
249340	1,6082
249350	1,6082
249360	1,6100
249370	1,6048
249380	1,6151
249390	1,6082
249400	1,6082
249410	1,6065
249420	1,6100
249430	1,6117
249440	1,6082
249450	1,6048
249460	1,6048
249470	1,6100
249480	1,6100
249490	1,6065
249500	1,6048
249510	1,6062
249520	1,6082
249530	1,6065
249540	1,6048
249550	1,6048
249560	1,6048
249570	1,6082
249580	1,6062
249590	1,6082
249600	1,6082
249610	1,6048
249620	1,6065
249630	1,6048
249640	1,6082
249650	1,6065
249660	1,6100
249670	1,6082
249680	1,6082
249690	1,6082
249700	1,6117
249710	1,6082
249720	1,6062
249730	1,6082
249740	1,6031
249750	1,6065
249760	1,6100
249770	1,6065
249780	1,6065
249790	1,6082
249800	1,6065
249810	1,6031
249820	1,6117
249830	1,6065
249840	1,6031
249850	1,6013
249860	1,6065
249870	1,6031
249880	1,6065
249890	1,6048
249900	1,6031
249910	1,6022
249920	1,6031
249930	1,6065
249940	1,6065
249950	1,6082
249960	1,6031
249970	1,6013
249980	1,6031
249990	1,6048
250000	1,6065
250010	1,5996
250020	1,6048
250030	1,5961
250040	1,6065
250050	1,6048
250060	1,6065
250070	1,6100
250080	1,6013
250090	1,6048
250100	1,5979
250110	1,6048
250120	1,6013
250130	1,6082
250140	1,6048
250150	1,5996
250160	1,5996
250170	1,6065
250180	1,6048
250190	1,6031
250200	1,6013
250210	1,6031
250220	1,6048
250230	1,6048
250240	1,6013
250250	1,6048
250260	1,6031
250270	1,5996
250280	1,6048
250290	1,5961
250300	1,6013
250310	1,6065
250320	1,6082
250330	1,5996
250340	1,6013
250350	1,5961
250360	1,6013
250370	1,5996
250380	1,6013
250390	1,5961
250400	1,6022
250410	1,5996
250420	1,6013
250430	1,5996
250440	1,6013
250450	1,5996
250460	1,5979
250470	1,5979
250480	1,6031
250490	1,5961
250500	1,6048
250510	1,5979
250520	1,5944
250530	1,6048
250540	1,5944
250550	1,6031
250560	1,6031
250570	1,5961
250580	1,6013
250590	1,6065
250600	1,5979
250610	1,5996
250620	1,6031
250630	1,5996
250640	1,5996
250650	1,5944
250660	1,6031
250670	1,5961
250680	1,5961
250690	1,6013
250700	1,5961
250710	1,5961
250720	1,5979
250730	1,5979
250740	1,6031
250750	1,5944
250760	1,5961
250770	1,5996
250780	1,5996
250790	1,5996
250800	1,5961
250810	1,5979
250820	1,6031
250830	1,5979
250840	1,5910
250850	1,5992
250860	1,5996
250870	1,5996
250880	1,5927
250890	1,5961
250900	1,5996
250910	1,5996
250920	1,5944
250930	1,5979
250940	1,5944
250950	1,5996
250960	1,5979
250970	1,5961
250980	1,5996
250990	1,5979
251000	1,5927
251010	1,5996
251020	1,5961
251030	1,5961
251040	1,5979
251050	1,5961
251060	1,5979
251070	1,5979
251080	1,5996
251090	1,5961
251100	1,5979
251110	1,5996
251120	1,5927
251130	1,5961
251140	1,5944
251150	1,5979
251160	1,5944
251170	1,5916
251180	1,6031
251190	1,5979
251200	1,5961
251210	1,5944
251220	1,5927
251230	1,5979
251240	1,5944
251250	1,5941
251260	1,5910
251270	1,5910
251280	1,5910
251290	1,5944
251300	1,5979
251310	1,5944
251320	1,5944
251330	1,5910
251340	1,5944
251350	1,5875
251360	1,5910
251370	1,5961
251380	1,5944
251390	1,5961
251400	1,5910
251410	1,5892
251420	1,5927
251430	1,5927
251440	1,5927
251450	1,5886
251460	1,5941
251470	1,5927
251480	1,5927
251490	1,5892
251500	1,5927
251510	1,5927
251520	1,5961
251530	1,5927
251540	1,5944
251550	1,5944
251560	1,5961
251570	1,5927
251580	1,5927
251590	1,5910
251600	1,5875
251610	1,5875
251620	1,5944
251630	1,5927
251640	1,5927
251650	1,5927
251660	1,5927
251670	1,5944
251680	1,5875
251690	1,5910
251700	1,5892
251710	1,5910
251720	1,5910
251730	1,5910
251740	1,5944
251750	1,5892
251760	1,5892
251770	1,5901
251780	1,5910
251790	1,5841
251800	1,5892
251810	1,5944
251820	1,5910
251830	1,5927
251840	1,5892
251850	1,5892
251860	1,5875
251870	1,5892
251880	1,5886
251890	1,5892
251900	1,5892
251910	1,5820
251920	1,5856
251930	1,5892
251940	1,5820
251950	1,5841
251960	1,5858
251970	1,5875
251980	1,5892
251990	1,5841
252000	1,5875
252010	1,5841
252020	1,5875
252030	1,5875
252040	1,5875
252050	1,5806
252060	1,5858
252070	1,5875
252080	1,5841
252090	1,5875
252100	1,5806
252110	1,5871
252120	1,5823
252130	1,5881
252140	1,5858
252150	1,5823
252160	1,5858
252170	1,5841
252180	1,5892
252190	1,5823
252200	1,5858
252210	1,5858
252220	1,5841
252230	1,5858
252240	1,5858
252250	1,5823
252260	1,5823
252270	1,5858
252280	1,5841
252290	1,5789
252300	1,5823
252310	1,5858
252320	1,5858
252330	1,5806
252340	1,5841
252350	1,5875
252360	1,5806
252370	1,5806
252380	1,5823
252390	1,5789
252400	1,5892
252410	1,5823
252420	1,5841
252430	1,5858
252440	1,5771
252450	1,5823
252460	1,5858
252470	1,5806
252480	1,5858
252490	1,5841
252500	1,5823
252510	1,5823
252520	1,5823
252530	1,5789
252540	1,5806
252550	1,5858
252560	1,5841
252570	1,5823
252580	1,5789
252590	1,5789
252600	1,5823
252610	1,5789
